"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
10,23.3922138214111
10.6478597782335,13.3090963363647
11.3376917856923,22.6736621856689
12.0722152342881,15.0874052047729
12.8543255027354,15.4245471954346
13.6871055496897,19.164436340332
14.5738380662977,14.5733604431152
15.518018416062,25.85959815979
16.5233684130273,19.2729663848877
17.5938509926007,26.3925647735596
18.7336858328347,24.0862941741943
19.9473659877503,22.4397048950195
21.2396755982669,34.5146217346191
22.6157087505514,30.1575679779053
24.0808895561239,24.0811977386475
25.6409935328735,30.7658824920654
27.3021703712629,32.269229888916
29.0709681754648,31.709545135498
30.9543592749837,33.5326614379883
32.9597677085088,32.9624710083008
35.095098488335,42.6176338195801
37.3687687607086,39.859245300293
39.7897409849257,39.7905883789062
42.3675582619719,42.3707237243652
45.1123819519615,45.1114654541016
48.0350317286597,50.562427520752
51.1470282289765,51.1506462097168
54.4606384655492,54.4581680297852
57.9889241814237,60.4091987609863
61.7457933374413,61.7454643249512
65.7460549352859,65.7372436523438
70.0054773922961,70.0034866333008
74.5408506981463,74.5390930175781
79.37005259841,81.7759323120117
84.5121190658887,84.5146102905273
89.9873193374956,89.986930847168
95.8172358124772,95.8203811645508
102.024849126919,102.029472351074
108.634628739886,108.645027160645
115.672629388276,115.666198730469
123.166593790594,123.152549743652
131.146062004488,131.141357421875
139.642487869131,139.637191772461
148.689362991418,148.692108154297
158.322348764748,158.324096679687
168.579416940761,168.557052612305
179.500999308158,179.535293579102
191.130147068606,191.078720092773
203.512700537966,203.494247436523
216.697469841788,216.703018188477
230.736427317334,230.718490600586
245.684912380554,245.669677734375
261.601849665572,261.666778564453
278.549981296553,278.528259277344
296.596114207526,296.55908203125
315.811383485066,315.784301757812
336.271532771891,336.232055664062
358.057212836675,357.995269775391
381.254299487002,381.227294921875
405.954232078623,405.945281982422
432.254373955363,432.188690185547
460.258396240481,460.217529296875
490.076686492327,490.068420410156
521.82678383516,521.832397460937
555.633842280334,555.583923339844
591.63112406421,591.789733886719
629.960524947437,630.028076171875
670.773133546268,670.818054199219
714.229826900695,714.269226074219
760.501904627058,760.413208007812
809.771764154841,809.663330078125
862.233619709351,862.250854492188
918.094267874387,918.073852539062
977.573902752641,977.589233398437
1040.90698393706,1040.61145019531
1108.34316071457,1108.42236328125
1180.14825614529,1179.81030273437
1256.60531489618,1256.79992675781
1338.01571895975,1338.3427734375
1424.70037565557,1424.83068847656
1517.00098259771,1516.88891601562
1615.28137461428,1615.68310546875
1719.92895792851,1719.85180664062
1831.35623725461,1831.46606445312
1950.00244182803,1949.88366699219
2076.33525677978,2076.67797851562
2210.85266667936,2210.349609375
2354.08491851354,2354.63110351562
2506.59661183864,2506.42236328125
2668.9889243453,2668.42456054687
2841.90198160869,2842.10180664062
3026.01738036533,3026.18774414062
3222.06087526275,3222.66162109375
3430.805239673,3430.68994140625
3653.07331184669,3653.84545898437
3889.74123841505,3889.23779296875
4141.74192802558,4142.06787109375
4410.06872872468,4411.48291015625
4695.77934358328,4696.0234375
5000.00000000001,4999.58251953125

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
10,-0.200344301256036
10.6478597782335,-0.16075448537031
11.3376917856923,-0.141841480640878
12.0722152342881,-0.145431806638746
12.8543255027354,-0.135386096216564
13.6871055496897,-0.129271206937115
14.5738380662977,-0.124547746731599
15.518018416062,-0.107848494987981
16.5233684130273,-0.112858130827065
17.5938509926007,-0.0961055824985763
18.7336858328347,-0.103018847887769
19.9473659877503,-0.102363742046198
21.2396755982669,-0.0986824110099652
22.6157087505514,-0.0963020425012544
24.0808895561239,-0.0925100996029479
25.6409935328735,-0.0901778799527217
27.3021703712629,-0.0877758687750257
29.0709681754648,-0.0861534261496884
30.9543592749837,-0.0867638664603017
32.9597677085088,-0.0833369683065725
35.095098488335,-0.0842437365965164
37.3687687607086,-0.0812751903001777
39.7897409849257,-0.0814615836571592
42.3675582619719,-0.0809525670754756
45.1123819519615,-0.0802534664500614
48.0350317286597,-0.080632201346119
51.1470282289765,-0.0785703168701293
54.4606384655492,-0.0798777418238945
57.9889241814237,-0.0798208606276814
61.7457933374413,-0.0797460175159673
65.7460549352859,-0.0777726373498032
70.0054773922961,-0.0782006513990709
74.5408506981463,-0.0790926645388915
79.37005259841,-0.0784251427240706
84.5121190658887,-0.0783645294945213
89.9873193374956,-0.0779619486549125
95.8172358124772,-0.0785134442351652
102.024849126919,-0.0745332848801463
108.634628739886,-0.0766129150706946
115.672629388276,-0.0779903831203884
123.166593790594,-0.0793957603243219
131.146062004488,-0.0806419319068904
139.642487869131,-0.0762455772728628
148.689362991418,-0.077195001478833
158.322348764748,-0.079401747508089
168.579416940761,-0.0783420802575853
179.500999308158,-0.0795903459092985
191.130147068606,-0.0813530408544163
203.512700537966,-0.0810289176611078
216.697469841788,-0.0814346349726604
230.736427317334,-0.081838125411287
245.684912380554,-0.0835301446972766
261.601849665572,-0.0832313969783717
278.549981296553,-0.084241490150177
296.596114207526,-0.0847147543441497
315.811383485066,-0.0850225396753754
336.271532771891,-0.0872912015846654
358.057212836675,-0.08866062468734
381.254299487002,-0.0889692990981182
405.954232078623,-0.0899096249203388
432.254373955363,-0.0922567626541884
460.258396240481,-0.0936434606798629
490.076686492327,-0.0959331212732929
521.82678383516,-0.0960133528086574
555.633842280334,-0.0994865139907285
591.63112406421,-0.100151155295166
629.960524947437,-0.105328246157097
670.773133546268,-0.108019691225362
714.229826900695,-0.110960588478696
760.501904627058,-0.116620636998014
809.771764154841,-0.120497565095564
862.233619709351,-0.125564161133707
918.094267874387,-0.131218679459045
977.573902752641,-0.137803571937505
1040.90698393706,-0.145293051649482
1108.34316071457,-0.153012403154878
1180.14825614529,-0.16209776282626
1256.60531489618,-0.1728386072418
1338.01571895975,-0.184311580555832
1424.70037565557,-0.197203815769752
1517.00098259771,-0.212488985885116
1615.28137461428,-0.227020809952769
1719.92895792851,-0.244780089875502
1831.35623725461,-0.263122281467004
1950.00244182803,-0.28599253619705
2076.33525677978,-0.310259584581378
2210.85266667936,-0.337546180921675
2354.08491851354,-0.368587816393788
2506.59661183864,-0.401980543734189
2668.9889243453,-0.441611046423056
2841.90198160869,-0.484305113911624
3026.01738036533,-0.53082378038038
3222.06087526275,-0.585801577729689
3430.805239673,-0.645521874108942
3653.07331184669,-0.714366283214408
3889.74123841505,-0.789279023664057
4141.74192802558,-0.875211267229631
4410.06872872468,-0.969358544330683
4695.77934358328,-1.07507519800115
5000.00000000001,-1.18844741366051

