"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
137.865742258481,-0.00508682519978687
145.445098666579,-0.00681642341562438
153.441140486294,-0.00931701063333357
161.876775564007,-0.011150752774829
170.776171136062,-0.0123126500129379
180.164823065441,-0.0128763275094674
190.06962888482,-0.0148076253358418
200.518964855259,-0.0169277730584904
211.542767261308,-0.0191773570157088
223.172618175414,-0.0217620223818886
235.441835937346,-0.025152902908317
248.38557060785,-0.0266487418906497
262.040904669998,-0.0292598732157475
276.446959266726,-0.0315185518807503
291.645006278934,-0.0375406332431157
307.67858656522,-0.0431022772187397
324.593634702017,-0.0463104682487795
342.438610581477,-0.0497845004500997
361.264638244132,-0.0565678244960898
381.125652344074,-0.0595752049917449
402.078552666247,-0.0694881957466033
424.183367138545,-0.075530740883106
447.50342380572,-0.0866028522990868
472.105532257783,-0.0899525088864491
498.06017503269,-0.10188535107428
525.441709541636,-0.108108497125368
554.32858109548,-0.122687152507181
584.803547642574,-0.128190283440798
616.953916861873,-0.148960927552981
650.871796290546,-0.156780194936074
686.654357202709,-0.172317989988797
724.40411299523,-0.189722762471834
764.229212878191,-0.197218118269634
806.243751711366,-0.221089944858417
850.568096874394,-0.254148024202912
897.329233107072,-0.261057914173204
946.661126307718,-0.290032551410306
998.705107331842,-0.322527772829776
1053.61027689067,-0.357670373220262
1111.5339327095,-0.366811183910339
1172.64202016972,-0.405421964228224
1237.1096077254,-0.454984206812737
1305.12138845664,-0.502842164636201
1376.87220919641,-0.553999195561243
1452.56762874696,-0.622762264948854
1532.42450678484,-0.643757759251991
1616.67162514184,-0.722483477859721
1705.55034324161,-0.799179059824448
1799.31528956994,-0.898832029192288
1898.23509115937,-1.0099270046826
2002.59314317841,-1.12700998955196
2112.68842082979,-1.24260935515854
2228.83633588405,-1.40285935230958
2351.36964030213,-1.57167542222167
2480.63937953594,-1.74385684391879
2617.01589823783,-1.94973742296127
2760.88990126037,-2.17796029873356
2912.67357298598,-2.34504439070331
3072.80175819328,-2.62335482799949
3241.73320784311,-2.97559594964558
3419.9518933534,-3.35759476783161
3607.96839312805,-3.70402170865108
3806.32135531206,-4.10479509802528
4015.57904096375,-4.63233836596383
4236.34095206483,-5.19087309846576
4469.23954903258,-5.94016833822385
4714.94206265465,-6.54241567466287
4974.15240563738,-7.35084053068945
5247.61318924406,-8.2208927236308
5536.10785080068,-9.07699505793356
5840.46289816419,-10.2144115259578
6161.55027758336,-11.4467420308596
6500.28987173619,-12.3697291101453
6857.65213510008,-13.6034810893531
7234.66087420529,-14.9244462596793
7632.39618073642,-15.8808361028995
8051.99752588526,-15.5175239425412
8494.66702481982,-16.6884930597766
8961.67288062198,-17.8537288760153
9454.35301756032,-19.027315855541
9974.11891410705,-20.2447605822871
10522.4596466802,-21.6940232777493
11100.9461556963,-23.9132744006649
11711.2357461543,-24.9877602768281
12355.0768356465,-25.8539678560482
13034.3139633967,-26.8612709261207
13750.8930746773,-28.363032124725
14506.8670957449,-29.3394768561154
15304.401815265,-31.3582254338107
16145.7820890762,-28.7814156011098
17033.4183860697,-28.8959197296057
17969.8536939377,-35.0404398366628
18957.7708045739,-35.3792052357067
20000.0000000001,-35.7311170374234

