"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
1237.1096077254,-43.4567718505859
1305.12138845664,-45.8024864196777
1376.87220919641,-48.4323196411133
1452.56762874696,-50.9760208129883
1532.42450678484,-53.9533157348633
1616.67162514184,-56.9058532714844
1705.55034324161,-60.0839233398438
1799.31528956994,-63.4011650085449
1898.23509115937,-66.7439575195312
2002.59314317841,-70.3505554199219
2112.68842082979,-74.2190475463867
2228.83633588405,-78.186164855957
2351.36964030213,-82.4019775390625
2480.63937953594,-86.9556274414063
2617.01589823783,-91.4426803588867
2760.88990126037,-96.3540115356445
2912.67357298598,-102.35334777832
3072.80175819328,-107.934417724609
3241.73320784311,-113.741752624512
3419.9518933534,-119.809265136719
3607.96839312805,-124.564025878906
3806.32135531206,-132.716857910156
4015.57904096375,-139.50895690918
4236.34095206483,-146.574172973633
4469.23954903258,-150.695526123047
4714.94206265465,-161.180633544922
4974.15240563738,-168.611953735352
5247.61318924406,-176.226684570312
5536.10785080068,176.023376464844
5840.46289816419,168.992248535156
6161.55027758336,161.186447143555
6500.28987173619,154.235778808594
6857.65213510008,147.504974365234
7234.66087420529,141.403732299805
7632.39618073642,137.675842285156
8051.99752588526,135.999755859375
8494.66702481982,128.277008056641
8961.67288062198,120.827659606934
9454.35301756032,113.546447753906
9974.11891410705,106.635635375977
10522.4596466802,101.497802734375
11100.9461556963,107.970840454102
11711.2357461543,103.35230255127
12355.0768356465,97.1905517578125
13034.3139633967,89.9141540527344
13750.8930746773,84.5332489013672
14506.8670957449,79.7196044921875
15304.401815265,75.5424194335938
16145.7820890762,77.5627136230469
17033.4183860697,78.9053344726563
17969.8536939377,80.691047668457
18957.7708045739,76.7717208862305
20000.0000000001,70.6141357421875

